-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                                 Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                         
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
select                               0.00%            3.937us          0.00%            3.937us          3.937us          0.00%            2.911us          2.911us          1                []                                   
index_select                         0.00%            12.998us         0.00%            12.998us         12.998us         0.00%            16.447us         16.447us         1                []                                   
view                                 0.00%            4.635us          0.00%            4.635us          4.635us          0.00%            4.097us          4.097us          1                []                                   
mul                                  0.00%            12.096us         0.00%            12.096us         12.096us         0.00%            13.952us         13.952us         1                []                                   
select                               0.00%            3.294us          0.00%            3.294us          3.294us          0.00%            3.392us          3.392us          1                []                                   
view                                 0.00%            4.173us          0.00%            4.173us          4.173us          0.00%            3.776us          3.776us          1                []                                   
expand_as                            0.00%            5.221us          0.00%            5.221us          5.221us          0.00%            4.127us          4.127us          1                []                                   
expand                               0.00%            2.472us          0.00%            2.472us          2.472us          0.00%            2.561us          2.561us          1                []                                   
scatter_add_                         0.00%            14.539us         0.00%            14.539us         14.539us         0.00%            17.728us         17.728us         1                []                                   
add                                  0.00%            12.897us         0.00%            12.897us         12.897us         0.00%            12.831us         12.831us         1                []                                   
log_softmax                          0.00%            18.031us         0.00%            18.031us         18.031us         0.00%            18.208us         18.208us         1                []                                   
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Self CPU time total: 568.051ms
CUDA time total: 650.647ms
